                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3564,                  0.125,                      1,                 1.4033,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.3862,                  0.125,                      1,                 1.4014,              2.089e-05,              2.089e-05,              2.089e-05
                      3,                 1.3758,                  0.125,                      1,                 1.3975,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      4,                 1.4119,                   0.25,                      1,                 1.3926,             4.6269e-05,             4.6269e-05,             4.6269e-05
                      5,                 1.3051,                   0.25,                      1,                 1.3857,             5.7898e-05,             5.7898e-05,             5.7898e-05
                      6,                 1.3052,                   0.25,                      1,                 1.3779,             6.8821e-05,             6.8821e-05,             6.8821e-05
                      7,                 1.3458,                   0.25,                      1,                 1.3682,             7.9036e-05,             7.9036e-05,             7.9036e-05
                      8,                 1.2933,                   0.25,                      1,                 1.3574,             8.8545e-05,             8.8545e-05,             8.8545e-05
                      9,                 1.2762,                  0.375,                      1,                 1.3516,             9.7347e-05,             9.7347e-05,             9.7347e-05
                     10,                 1.2435,                  0.375,                      1,                 1.3457,             0.00010544,             0.00010544,             0.00010544
                     11,                 1.2446,                  0.375,                      1,                 1.3389,             0.00011283,             0.00011283,             0.00011283
                     12,                 1.2111,                  0.625,                      1,                  1.334,             0.00011951,             0.00011951,             0.00011951
                     13,                 1.1562,                   0.75,                      1,                 1.3262,             0.00012549,             0.00012549,             0.00012549
                     14,                  1.122,                   0.75,                      1,                 1.3203,             0.00013075,             0.00013075,             0.00013075
                     15,                 1.2435,                  0.875,                      1,                 1.3115,             0.00013531,             0.00013531,             0.00013531
                     16,                 1.0882,                   0.75,                      1,                 1.3037,             0.00013917,             0.00013917,             0.00013917
                     17,                 1.0053,                   0.75,                      1,                 1.2969,             0.00014231,             0.00014231,             0.00014231
                     18,                 1.0344,                   0.75,                      1,                 1.2871,             0.00014475,             0.00014475,             0.00014475
                     19,                0.96628,                   0.75,                      1,                 1.2803,             0.00014649,             0.00014649,             0.00014649
                     20,                 1.0225,                   0.75,                      1,                 1.2734,             0.00014751,             0.00014751,             0.00014751
                     21,                 1.0304,                   0.75,                      1,                 1.2637,             0.00014783,             0.00014783,             0.00014783
                     22,                0.90484,                   0.75,                      1,                 1.2549,             0.00014745,             0.00014745,             0.00014745
                     23,                0.99147,                  0.875,                      1,                 1.2461,             0.00014635,             0.00014635,             0.00014635
                     24,                 0.8314,                  0.875,                      1,                 1.2383,             0.00014455,             0.00014455,             0.00014455
                     25,                0.79658,                  0.875,                      1,                 1.2285,             0.00014204,             0.00014204,             0.00014204
                     26,                0.85422,                   0.75,                      1,                 1.2227,             0.00013883,             0.00013883,             0.00013883
                     27,                0.78857,                   0.75,                      1,                 1.2168,             0.00013491,             0.00013491,             0.00013491
                     28,                0.79719,                   0.75,                      1,                 1.2168,             0.00013028,             0.00013028,             0.00013028
                     29,                0.78107,                   0.75,                      1,                 1.2051,             0.00012494,             0.00012494,             0.00012494
                     30,                0.80113,                   0.75,                      1,                 1.1973,              0.0001189,              0.0001189,              0.0001189
                     31,                0.79184,                   0.75,                      1,                 1.1973,             0.00011215,             0.00011215,             0.00011215
                     32,                0.67898,                   0.75,                      1,                 1.1885,              0.0001047,              0.0001047,              0.0001047
                     33,                 0.6394,                   0.75,                      1,                 1.1807,             9.6533e-05,             9.6533e-05,             9.6533e-05
                     34,                0.66153,                   0.75,                      1,                 1.1807,             8.7663e-05,             8.7663e-05,             8.7663e-05
                     35,                0.75615,                   0.75,                      1,                 1.1738,             7.8087e-05,             7.8087e-05,             7.8087e-05
                     36,                0.70112,                   0.75,                      1,                 1.1689,             6.7803e-05,             6.7803e-05,             6.7803e-05
                     37,                0.67697,                   0.75,                      1,                 1.1689,             5.6813e-05,             5.6813e-05,             5.6813e-05
                     38,                0.62267,                   0.75,                      1,                 1.1641,             4.5116e-05,             4.5116e-05,             4.5116e-05
                     39,                0.65883,                   0.75,                      1,                 1.1602,             3.2712e-05,             3.2712e-05,             3.2712e-05
                     40,                0.64117,                   0.75,                      1,                 1.1602,             1.9601e-05,             1.9601e-05,             1.9601e-05
